rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0070.jpg,28.0,0.6719,0.601,0.5714,1.0,5,4,False,True
2,frame_0071.jpg,28.4,0.6312,0.5195,0.5714,1.0,6,4,False,False
3,frame_0072.jpg,28.8,0.6237,0.5902,0.4286,1.0,6,3,False,False
4,frame_0000.jpg,0.0,0.6031,0.4634,0.5714,1.0,6,4,False,True
5,frame_0289.jpg,115.6,0.603,0.7305,0.2857,0.76,3,2,False,True
6,frame_0328.jpg,131.2,0.6028,0.5737,1.0,0.08,11,7,False,True
7,frame_0025.jpg,10.0,0.5877,0.6896,0.1429,1.0,1,1,False,True
8,frame_0127.jpg,50.8,0.5791,0.4954,0.5714,0.8,4,4,False,True
9,frame_0073.jpg,29.2,0.5678,0.4784,0.4286,1.0,6,3,False,False
10,frame_0291.jpg,116.4,0.5662,0.4535,0.5714,0.84,6,4,False,False
11,frame_0069.jpg,27.6,0.5628,0.4684,0.4286,1.0,4,3,False,False
12,frame_0287.jpg,114.8,0.5584,0.5877,0.4286,0.68,6,3,False,False
13,frame_0074.jpg,29.6,0.5573,0.3718,0.5714,1.0,6,4,False,False
14,frame_0079.jpg,31.6,0.5354,0.408,0.5714,0.8,7,4,False,True
15,frame_0031.jpg,12.4,0.5281,0.399,0.4286,1.0,7,3,False,True
16,frame_0376.jpg,150.4,0.5273,0.562,0.7143,0.16,7,5,False,True
17,frame_0375.jpg,150.0,0.5241,0.5396,0.7143,0.2,8,5,False,False
18,frame_0295.jpg,118.0,0.5076,0.4861,0.4286,0.68,4,3,False,True
19,frame_0277.jpg,110.8,0.5063,0.4721,0.7143,0.28,7,5,False,True
20,frame_0294.jpg,117.6,0.5039,0.4626,0.4286,0.72,5,3,False,False
21,frame_0275.jpg,110.0,0.5001,0.5773,0.5714,0.2,7,4,False,False
22,frame_0276.jpg,110.4,0.4914,0.5439,0.5714,0.24,8,4,False,False
23,frame_0130.jpg,52.0,0.49,0.4405,0.2857,0.92,3,2,False,False
24,frame_0293.jpg,117.2,0.4809,0.315,0.5714,0.76,6,4,False,False
25,frame_0126.jpg,50.4,0.4768,0.3925,0.4286,0.76,6,3,False,False
26,frame_0327.jpg,130.8,0.474,0.5891,0.5714,0.04,7,4,False,False
27,frame_0128.jpg,51.2,0.4707,0.3482,0.4286,0.84,6,3,False,False
28,frame_0125.jpg,50.0,0.469,0.3928,0.4286,0.72,5,3,False,False
29,frame_0170.jpg,68.0,0.469,0.4032,0.5714,0.48,4,4,False,True
30,frame_0377.jpg,150.8,0.4689,0.5469,0.5714,0.12,8,4,False,False
31,frame_0329.jpg,131.6,0.4684,0.5619,0.5714,0.08,10,4,False,False
32,frame_0033.jpg,13.2,0.4674,0.2776,0.4286,1.0,5,3,False,False
33,frame_0274.jpg,109.6,0.464,0.4354,0.7143,0.16,6,5,False,False
34,frame_0077.jpg,30.8,0.4612,0.3132,0.4286,0.88,7,3,False,False
35,frame_0374.jpg,149.6,0.4592,0.4955,0.5714,0.2,9,4,False,False
36,frame_0129.jpg,51.6,0.4585,0.3936,0.2857,0.88,5,2,False,False
37,frame_0297.jpg,118.8,0.4572,0.4172,0.4286,0.6,4,3,False,False
38,frame_0011.jpg,4.4,0.457,0.3426,0.2857,1.0,2,2,False,False
39,frame_0387.jpg,154.8,0.4563,0.4897,0.5714,0.2,10,4,False,False
40,frame_0284.jpg,113.6,0.4559,0.5163,0.2857,0.56,4,2,False,False
41,frame_0024.jpg,9.6,0.4552,0.4246,0.1429,1.0,1,1,False,False
42,frame_0167.jpg,66.8,0.454,0.4108,0.4286,0.6,6,3,False,False
43,frame_0015.jpg,6.0,0.4536,0.25,0.4286,1.0,5,3,False,False
44,frame_0106.jpg,42.4,0.4522,0.5455,0.5714,0.04,6,4,False,False
45,frame_0210.jpg,84.0,0.4521,0.4607,0.2857,0.68,2,2,False,False
46,frame_0317.jpg,126.8,0.4516,0.4804,0.5714,0.2,7,4,False,False
47,frame_0001.jpg,0.4,0.4497,0.3279,0.2857,1.0,6,2,False,False
48,frame_0029.jpg,11.6,0.4486,0.3258,0.2857,1.0,4,2,False,False
49,frame_0032.jpg,12.8,0.4485,0.3255,0.2857,1.0,6,2,False,False
50,frame_0330.jpg,132.0,0.4467,0.5345,0.5714,0.04,7,4,False,False
51,frame_0075.jpg,30.0,0.4466,0.3377,0.2857,0.96,6,2,False,False
52,frame_0131.jpg,52.4,0.4462,0.337,0.2857,0.96,4,2,False,False
53,frame_0076.jpg,30.4,0.4427,0.346,0.2857,0.92,5,2,False,False
54,frame_0367.jpg,146.8,0.4414,0.4222,0.7143,0.08,8,5,False,False
55,frame_0397.jpg,158.8,0.4407,0.4585,0.5714,0.2,5,4,False,False
56,frame_0301.jpg,120.4,0.4386,0.4441,0.4286,0.44,5,3,False,False
57,frame_0010.jpg,4.0,0.4364,0.387,0.1429,1.0,2,1,False,False
58,frame_0288.jpg,115.2,0.4357,0.412,0.2857,0.72,7,2,False,False
59,frame_0298.jpg,119.2,0.429,0.3769,0.4286,0.56,5,3,False,False
60,frame_0286.jpg,114.4,0.4284,0.4294,0.2857,0.64,6,2,False,False
61,frame_0007.jpg,2.8,0.4282,0.285,0.2857,1.0,4,2,False,False
62,frame_0316.jpg,126.4,0.4235,0.4401,0.5714,0.16,7,4,False,False
63,frame_0133.jpg,53.2,0.4227,0.274,0.2857,1.0,6,2,False,False
64,frame_0280.jpg,112.0,0.4177,0.4183,0.4286,0.4,4,3,False,False
65,frame_0296.jpg,118.4,0.4173,0.3215,0.4286,0.64,5,3,False,False
66,frame_0279.jpg,111.6,0.4171,0.4331,0.4286,0.36,5,3,False,False
67,frame_0384.jpg,153.6,0.4165,0.4262,0.5714,0.16,6,4,False,False
68,frame_0399.jpg,159.6,0.4133,0.5431,0.2857,0.28,3,2,False,False
69,frame_0012.jpg,4.8,0.4087,0.3316,0.1429,1.0,1,1,False,False
70,frame_0183.jpg,73.2,0.4083,0.4577,0.5714,0.04,4,4,False,False
71,frame_0123.jpg,49.2,0.4076,0.3878,0.2857,0.64,4,2,False,False
72,frame_0004.jpg,1.6,0.4074,0.2434,0.2857,1.0,4,2,False,False
73,frame_0373.jpg,149.2,0.4069,0.407,0.5714,0.16,7,4,False,False
74,frame_0292.jpg,116.8,0.4063,0.3212,0.2857,0.8,6,2,False,False
75,frame_0209.jpg,83.6,0.4055,0.3515,0.2857,0.72,2,2,False,False
76,frame_0379.jpg,151.6,0.4028,0.4468,0.5714,0.04,9,4,False,False
77,frame_0386.jpg,154.4,0.4012,0.4493,0.4286,0.24,8,3,False,False
78,frame_0318.jpg,127.2,0.3991,0.445,0.4286,0.24,6,3,False,False
79,frame_0174.jpg,69.6,0.3957,0.4063,0.4286,0.32,3,3,False,False
80,frame_0017.jpg,6.8,0.3948,0.3039,0.1429,1.0,3,1,False,False
81,frame_0122.jpg,48.8,0.3921,0.3727,0.2857,0.6,3,2,False,False
82,frame_0230.jpg,92.0,0.3917,0.4783,0.4286,0.12,8,3,False,False
83,frame_0333.jpg,133.2,0.3915,0.4938,0.4286,0.08,9,3,False,False
84,frame_0278.jpg,111.2,0.3901,0.3951,0.4286,0.32,6,3,False,False
85,frame_0224.jpg,89.6,0.3891,0.4731,0.4286,0.12,5,3,False,False
86,frame_0285.jpg,114.0,0.3844,0.3574,0.2857,0.6,5,2,False,False
87,frame_0184.jpg,73.6,0.38,0.3852,0.5714,0.08,5,4,False,False
88,frame_0281.jpg,112.4,0.378,0.4085,0.2857,0.44,4,2,False,False
89,frame_0396.jpg,158.4,0.3765,0.4318,0.4286,0.16,5,3,False,False
90,frame_0008.jpg,3.2,0.3764,0.3527,0.0,1.0,4,0,False,False
91,frame_0013.jpg,5.2,0.3763,0.2669,0.1429,1.0,3,1,False,False
92,frame_0111.jpg,44.4,0.3758,0.5161,0.2857,0.16,3,2,False,False
93,frame_0124.jpg,49.6,0.3753,0.3071,0.2857,0.68,3,2,False,False
94,frame_0220.jpg,88.0,0.3721,0.4607,0.2857,0.28,2,2,False,False
95,frame_0290.jpg,116.0,0.3711,0.3365,0.1429,0.8,6,1,False,False
96,frame_0067.jpg,26.8,0.37,0.2542,0.1429,1.0,5,1,False,False
97,frame_0299.jpg,119.6,0.3693,0.3592,0.2857,0.52,6,2,False,False
98,frame_0006.jpg,2.4,0.3679,0.2501,0.1429,1.0,3,1,False,False
99,frame_0068.jpg,27.2,0.3679,0.2501,0.1429,1.0,6,1,False,False
100,frame_0304.jpg,121.6,0.3672,0.3492,0.4286,0.32,4,3,False,False
101,frame_0121.jpg,48.4,0.3665,0.4232,0.1429,0.56,3,1,False,False
